A. MOVIE PROMOS
B. PURCHASE BONUSES
C. THEME DECKS & BOX SETS
D. LEAGUE & TOURNAMENTS
E. PROMO PACKS
F. EVENT PARTICIPATION
G. MISCELLANEOUS

Below is the ordered list of all promo cards and their source category.
1. Base Set
# 	Name KR 	Name ENG 	Source
58/102 	피카츄 	Pikachu 	Pikachu World Collection 2000 (Gold tail stamp)
14 	뮤츠 	Mewtwo 	Movie Promos
2. ADV
# / P 	Name KR 	Name ENG 	Source
1 	피카츄 	Pikachu 	Miscelaneous
3. Diamond & Pearl (DP)
# / DP 	Name KR 	Name ENG 	Source
001 	루기아 	Lugia 	Included with Pokémon SoulSilver release Nintendo DS (Feb 4, 2010)
002 	칠색조 	Ho-Oh 	Included with Pokémon HeartGold release for Nintendo DS (Feb 4, 2010)
003 	피카츄 	Pikachu 	Distributed during 2010 Pokémon Spring Event (May 1–2), LG Twins Children’s Day Event (May 5), Pokémon Story Event (May 12–Jun 20), and I’m a Pokémon Card Game Player! Event (Jun 5–20)
004 	갸라도스 	Gyarados 	Theme Decks & Box Sets
005 	피츄 	Pichu 	Given during I’m a Pokémon Card Game Player! Event (Jun 26–Aug 22, 2010) and Pokémon Card Game League Zone (from Dec 4, 2010)
006 	잠만보 LV. X 	Snorlax LV.X 	Theme Decks & Box Sets
007 	먹고자 	Munchlax 	Distributed at Pokémon Summer Festival 2010 entrance
008 	승리의 메달 	Victory Medal 	Given as a prize for 3 consecutive wins at Pokémon Summer Festival 2010 Battle Zone
009 	리오르 	Riolu 	Distributed at Pokémon TCG Beginner’s Class and I’m a Pokémon Card Game Player! events
010 	기라티나 	Giratina 	Given for participating in Pokémon TCG Battle Tournament
011 	승리의 메달 	Victory Medal 	Given to Junior/Senior Top 4 at Pokémon Card Game Battle Tournament
012 	팬텀 LV. X 	Gengar LV.X 	Theme Decks & Box Sets
013 	이브이 	Eevee 	Distributed through I’m a Pokémon TCG Player! (from Nov 6, 2010) and Pokémon Mini Tournament (last Sunday of each month)
014 	아르세우스 (악) 	Arceus (Dark) 	Randomly inserted to Expansion Pack Set Special Edition
015 	아르세우스 (풀) 	Arceus (Grass) 	Randomly inserted to Expansion Pack Set Special Edition
016 	아르세우스 (불꽃) 	Arceus (Fire) 	Randomly inserted to Expansion Pack Set Special Edition
017 	아르세우스 (물) 	Arceus (Water) 	Randomly inserted to Expansion Pack Set Special Edition
018 	아르세우스 (무) 	Arceus (Colorless) 	Randomly inserted to Expansion Pack Set Special Edition
019 	아르세우스 (번개) 	Arceus (Lightning) 	Randomly inserted to Expansion Pack Set Special Edition
020 	아르세우스 (초) 	Arceus (Psychic) 	Randomly inserted to Expansion Pack Set Special Edition
021 	아르세우스 (격투) 	Arceus (Fighting) 	Randomly inserted to Expansion Pack Set Special Edition
022 	아르세우스 (강철) 	Arceus (Metal) 	Randomly inserted to Expansion Pack Set Special Edition
4.Black & White (BW)
# / BW 	Name KR 	Name ENG 	Source
001 	빅토리컵 (금) 	Victory Cup (Gold) 	Leagues & Tournaments
002 	빅토리컵 (은) 	Victory Cup (Silver) 	Leagues & Tournaments
003 	빅토리컵 (동) 	Victory Cup (Bronze) 	Leagues & Tournaments
004 	주리비얀 	Snivy 	2011 Nene Chicken Pokémon Set Purchase Bonus (Holo) + BW Launch Event (Non-Holo)
005 	뚜꾸리 	Tepig 	2011 Nene Chicken Pokémon Set Purchase Bonus (Holo) + BW Launch Event (Non-Holo)
006 	수댕이 	Oshawott 	2011 Nene Chicken Pokémon Set Purchase Bonus (Holo) + BW Launch Event (Non-Holo)
007 	줄뮤마 	Blitzle 	2011 Nene Chicken Pokémon Set Purchase Bonus
008 	몽나 	Munna 	2011 Nene Chicken Pokémon Set Purchase Bonus
009 	깜눈크 	Sandile 	2011 Nene Chicken Pokémon Set Purchase Bonus
010 	조로아 	Zorua 	2011 Nene Chicken Pokémon Set Purchase Bonus
011 	기어르 	Klink 	2011 Nene Chicken Pokémon Set Purchase Bonus
012 	콩둘기 	Pidove 	2011 Nene Chicken Pokémon Set Purchase Bonus
013 	주리비얀 	Snivy 	Pokétown Promo
014 	뚜꾸리 	Tepig 	Pokétown Promo
015 	수댕이 	Oshawott 	Pokétown Promo
016 	샤비 	Servine 	Pokétown Promo
017 	차오꿀 	Pignite 	Pokétown Promo
018 	쌍검자비 	Samurott 	Pokétown Promo
019 	레시라무 	Reshiram 	Movie Promo – Victini and the Black Hero: Zekrom (2011 Korea release)
020 	제크로무 	Zekrom 	Movie Promo – Victini and the Black Hero: Zekrom (2011 Korea release)
021 	레시라무 	Reshiram 	Theme decks & box sets
022 	제크로무 	Zekrom 	Theme decks & box sets
023 	루카리오 	Lucario 	Theme decks & box sets
024 	배틀시티 	Battle City 	Leagues & Tournaments (2012 Korea National Championships Participation)
025 	조로아 	Zorua 	2012 Korea National Championships - Bingo Rally event participation.
026 	하이퍼볼 	Ultra Ball 	Leagues & Tournaments
027 	엠페르트 	Empoleon 	Leagues & Tournaments
028 	풀 기본에너지 	Grass Basic Energy 	Leagues & Tournaments
029 	불 기본에너지 	Fire Basic Energy 	Leagues & Tournaments
030 	물 기본에너지 	Water Basic Energy 	Leagues & Tournaments
031 	번개 기본에너지 	Lightning Basic Energy 	Leagues & Tournaments
032 	진화의휘석 	Eviolite 	Leagues & Tournaments
033 	벨 	Bianca 	Leagues & Tournaments
034 	주박사 	Professor Juniper 	Leagues & Tournaments
035 	드레디어 	Lilligant 	Leagues & Tournaments
036 	툰베어 	Beartic 	Leagues & Tournaments
037 	비크티니 	Victini 	Theme decks & box sets
038 	레시라무 	Reshiram 	Theme decks & box sets
039 	제크로무 	Zekrom 	Theme decks & box sets
040 	랜드로스 	Landorus 	Theme decks & box sets
041 	레시라무 EX 	Reshiram EX 	Theme decks & box sets
