ngansen@hanryxvault:~/Hanryx-Vault-POS/pi-setup $ cd ~/Hanryx-Vault-POS/pi-setup

# Have the tablet attempt a print again, then immediately:
docker compose logs --since 3m pos | tail -120
WARN[0000] The "GITHUB_TOKEN" variable is not set. Defaulting to a blank string. 
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:56 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:56 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:56 +0000] "GET /print/status HTTP/1.1" 200 71 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:57 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:57 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:57 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:57 +0000] "GET /inventory HTTP/1.1" 200 3562 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:58 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:58 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:59 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:39:59 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:00 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:00 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:01 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:01 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:01 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:01 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:01 +0000] "GET /print/status HTTP/1.1" 200 71 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:02 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:03 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:03 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:03 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:04 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:04 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 127.0.0.1 - - [29/Apr/2026:03:40:04 +0000] "GET /health HTTP/1.1" 200 316 "-" "curl/7.88.1"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:05 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:05 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:05 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:06 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:06 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:07 +0000] "GET /print/status HTTP/1.1" 200 71 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:07 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:07 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:07 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:08 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:09 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:09 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:09 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:10 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:10 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:10 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:11 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:12 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:12 +0000] "GET /print/status HTTP/1.1" 200 71 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:12 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:12 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:13 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:13 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:14 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:14 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:15 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:15 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:15 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:16 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:16 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:17 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:17 +0000] "GET /print/status HTTP/1.1" 200 71 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:17 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:18 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:18 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:18 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:19 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 127.0.0.1 - - [29/Apr/2026:03:40:19 +0000] "GET /health HTTP/1.1" 200 316 "-" "curl/7.88.1"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:20 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:20 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:20 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:20 +0000] "GET /print/status HTTP/1.1" 200 71 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:20 +0000] "GET /print/status HTTP/1.1" 200 71 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:20 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:21 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:21 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:22 +0000] "GET /print/status HTTP/1.1" 200 71 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:22 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:22 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:23 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:23 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:24 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:24 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:24 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:25 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:25 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:26 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:26 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:26 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:27 +0000] "GET /print/status HTTP/1.1" 200 71 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:27 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:27 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:27 +0000] "GET /inventory HTTP/1.1" 200 3562 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:28 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:28 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:29 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:29 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:29 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:30 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:30 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:30 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:31 +0000] "GET /tablet/trade/current HTTP/1.1" 200 15 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:32 +0000] "GET /print/status HTTP/1.1" 200 71 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:32 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
pos-1  | 100.118.170.69 - - [29/Apr/2026:03:40:32 +0000] "GET /scan/pending HTTP/1.1" 200 21 "-" "okhttp/4.12.0"
